Date,Close
2010-01-04,1369.4388427734375
2010-01-05,1338.015380859375
2010-01-06,1290.1739501953125
2010-01-07,1282.8037109375
2010-01-08,1265.0174560546875
2010-01-11,1284.0833740234375
2010-01-12,1271.9466552734375
2010-01-13,1261.1337890625
2010-01-14,1248.8642578125
2010-01-15,1247.6285400390625
2010-01-18,1261.663330078125
2010-01-19,1252.7923583984375
2010-01-20,1287.260986328125
2010-01-21,1282.318115234375
2010-01-22,1274.9918212890625
2010-01-25,1276.536376953125
2010-01-27,1209.0997314453125
2010-01-28,1216.6021728515625
2010-01-29,1226.4442138671875
2010-02-01,1234.8299560546875
2010-02-02,1212.409423828125
2010-02-03,1215.675537109375
2010-02-04,1204.9952392578125
2010-02-05,1199.47802734375
2010-02-08,1202.2586669921875
2010-02-09,1194.049560546875
2010-02-10,1177.4110107421875
2010-02-11,1197.2274169921875
2010-02-15,1179.264892578125
2010-02-16,1198.1104736328125
2010-02-17,1218.3236083984375
2010-02-18,1200.140380859375
2010-02-19,1210.15869140625
2010-02-22,1223.6197509765625
2010-02-23,1179.0440673828125
2010-02-24,1205.2156982421875
2010-02-25,1235.6683349609375
2010-02-26,1288.6734619140625
2010-03-02,1316.1689453125
2010-03-03,1303.281982421875
2010-03-04,1286.2020263671875
2010-03-05,1286.1138916015625
2010-03-08,1304.7384033203125
2010-03-09,1323.5833740234375
2010-03-10,1306.23876953125
2010-03-11,1292.4249267578125
2010-03-12,1291.89501953125
2010-03-15,1276.4482421875
2010-03-16,1287.658203125
2010-03-17,1265.3262939453125
2010-03-18,1254.910888671875
2010-03-19,1261.6190185546875
2010-03-22,1233.505615234375
2010-03-23,1229.9307861328125
2010-03-25,1209.4083251953125
2010-03-26,1232.97607421875
2010-03-29,1259.9862060546875
2010-03-30,1242.5091552734375
2010-03-31,1251.6004638671875
2010-04-01,1229.710205078125
2010-04-05,1233.417236328125
2010-04-06,1215.14599609375
2010-04-07,1238.3160400390625
2010-04-08,1221.721923828125
2010-04-09,1216.0283203125
2010-04-12,1210.64404296875
2010-04-13,1203.3619384765625
2010-04-15,1195.9034423828125
2010-04-16,1192.63720703125
2010-04-19,1175.9989013671875
2010-04-20,1193.6966552734375
2010-04-21,1215.8519287109375
2010-04-22,1217.529052734375
2010-04-23,1201.6407470703125
2010-04-26,1177.2344970703125
2010-04-27,1132.7471923828125
2010-04-28,1121.3165283203125
2010-04-29,1138.1317138671875
2010-04-30,1129.56982421875
2010-05-03,1131.1141357421875
2010-05-04,1116.903076171875
2010-05-05,1132.0853271484375
2010-05-06,1128.5106201171875
2010-05-07,1128.951904296875
2010-05-10,1143.471923828125
2010-05-11,1119.3306884765625
2010-05-12,1116.81494140625
2010-05-13,1126.127197265625
2010-05-14,1111.739501953125
2010-05-17,1095.8511962890625
2010-05-18,1096.689697265625
2010-05-19,1082.8758544921875
2010-05-20,1066.590087890625
2010-05-21,1093.247314453125
2010-05-24,1073.033935546875
2010-05-25,1058.1165771484375
2010-05-26,1059.837646484375
2010-05-27,1092.89453125
2010-05-28,1081.46337890625
2010-05-31,1091.7469482421875
2010-06-01,1109.5323486328125
2010-06-02,1128.2900390625
2010-06-03,1144.663818359375
2010-06-04,1174.0130615234375
2010-06-07,1161.1256103515625
2010-06-08,1142.5009765625
2010-06-09,1150.13623046875
2010-06-10,1188.22412109375
2010-06-11,1197.4920654296875
2010-06-14,1196.432861328125
2010-06-15,1185.35546875
2010-06-16,1204.3768310546875
2010-06-17,1217.88232421875
2010-06-18,1192.63720703125
2010-06-21,1214.792724609375
2010-06-22,1208.4373779296875
2010-06-23,1242.2442626953125
2010-06-24,1224.2374267578125
2010-06-25,1232.9317626953125
2010-06-28,1231.1221923828125
2010-06-29,1226.002685546875
2010-06-30,1256.72021484375
2010-07-01,1236.5509033203125
2010-07-02,1249.791259765625
2010-07-05,1232.31396484375
2010-07-06,1229.0040283203125
2010-07-07,1218.1029052734375
2010-07-08,1238.7579345703125
2010-07-09,1257.161376953125
2010-07-12,1244.009765625
2010-07-13,1243.788818359375
2010-07-14,1230.1072998046875
2010-07-15,1213.91015625
2010-07-16,1212.89501953125
2010-07-19,1203.3619384765625
2010-07-20,1199.1251220703125
2010-07-21,1202.56787109375
2010-07-22,1195.28564453125
2010-07-23,1198.8603515625
2010-07-26,1051.6728515625
2010-07-27,1065.8399658203125
2010-07-28,1061.5146484375
2010-07-29,1057.2337646484375
2010-07-30,1057.984130859375
2010-08-02,1067.95849609375
2010-08-03,1070.8712158203125
2010-08-04,1071.224365234375
2010-08-05,1081.9490966796875
2010-08-06,1078.109375
2010-08-09,1087.553955078125
2010-08-10,1083.2728271484375
2010-08-11,1072.6368408203125
2010-08-12,1082.1695556640625
2010-08-13,1102.603759765625
2010-08-16,1109.1356201171875
2010-08-17,1106.4873046875
2010-08-18,1107.1934814453125
2010-08-19,1104.8106689453125
2010-08-20,1094.26220703125
2010-08-23,1099.0289306640625
2010-08-24,1093.6627197265625
2010-08-25,1082.1324462890625
2010-08-26,1088.4739990234375
2010-08-27,1080.934814453125
2010-08-30,1095.702880859375
2010-08-31,1115.3487548828125
2010-09-01,1128.875
2010-09-02,1132.378662109375
2010-09-03,1128.298583984375
2010-09-06,1155.306396484375
2010-09-07,1166.7039794921875
2010-09-08,1159.6966552734375
2010-09-09,1166.171630859375
2010-09-13,1178.0123291015625
2010-09-14,1194.2879638671875
2010-09-15,1213.9342041015625
2010-09-16,1239.3455810546875
2010-09-17,1231.4073486328125
2010-09-20,1240.764892578125
2010-09-21,1253.3592529296875
2010-09-22,1298.372802734375
2010-09-23,1293.7161865234375
2010-09-24,1314.2490234375
2010-09-27,1311.8988037109375
2010-09-28,1302.142333984375
2010-09-29,1268.3935546875
2010-09-30,1278.0169677734375
2010-10-01,1312.652587890625
2010-10-04,1312.830078125
2010-10-05,1333.4072265625
2010-10-06,1345.2481689453125
2010-10-07,1321.6551513671875
2010-10-08,1327.9525146484375
2010-10-11,1345.7359619140625
2010-10-12,1348.2196044921875
2010-10-13,1382.234375
2010-10-14,1381.347412109375
2010-10-15,1347.199462890625
2010-10-18,1322.9415283203125
2010-10-19,1325.8681640625
2010-10-20,1322.1875
2010-10-21,1342.54296875
2010-10-22,1333.363037109375
2010-10-25,1336.64453125
2010-10-26,1389.684814453125
2010-10-27,1353.1422119140625
2010-10-28,1361.302490234375
2010-10-29,1376.2032470703125
2010-11-01,1337.7978515625
2010-11-02,1324.582275390625
2010-11-03,1326.976806640625
2010-11-04,1337.1768798828125
2010-11-08,1320.3248291015625
2010-11-09,1305.556884765625
2010-11-10,1308.350830078125
2010-11-11,1304.1822509765625
2010-11-12,1290.07958984375
2010-11-15,1274.46923828125
2010-11-16,1242.316650390625
2010-11-18,1268.659423828125
2010-11-19,1246.52978515625
2010-11-22,1260.322021484375
2010-11-23,1278.549072265625
2010-11-24,1255.97607421875
2010-11-25,1224.0899658203125
2010-11-26,1212.4708251953125
2010-11-29,1247.1065673828125
2010-11-30,1261.2532958984375
2010-12-01,1254.2464599609375
2010-12-02,1249.5899658203125
2010-12-03,1242.272705078125
2010-12-06,1248.9246826171875
2010-12-07,1267.15185546875
2010-12-08,1256.95166015625
2010-12-09,1233.8907470703125
2010-12-10,1253.4927978515625
2010-12-13,1261.1202392578125
2010-12-14,1254.02490234375
2010-12-15,1237.3056640625
2010-12-16,1222.227294921875
2010-12-20,1254.9114990234375
2010-12-21,1262.406494140625
2010-12-22,1236.5074462890625
2010-12-23,1234.9552001953125
2010-12-24,1234.2012939453125
2010-12-27,1236.7291259765625
2010-12-28,1237.48291015625
2010-12-29,1257.616943359375
2010-12-30,1259.878662109375
2010-12-31,1260.898681640625
2011-01-03,1264.845703125
2011-01-04,1267.240478515625
2011-01-05,1252.782958984375
2011-01-06,1218.5908203125
2011-01-07,1189.0107421875
2011-01-10,1176.1055908203125
2011-01-11,1169.4088134765625
2011-01-12,1168.6993408203125
2011-01-13,1166.8369140625
2011-01-14,1126.1695556640625
2011-01-17,1126.0810546875
2011-01-18,1133.1763916015625
2011-01-19,1128.83056640625
2011-01-20,1116.9010009765625
2011-01-21,1107.499267578125
2011-01-24,1146.392333984375
2011-01-25,1142.534423828125
2011-01-27,1126.1695556640625
2011-01-28,1090.381103515625
2011-01-31,1111.224609375
2011-02-01,1101.9556884765625
2011-02-02,1079.4716796875
2011-02-03,1080.4915771484375
2011-02-04,1049.2261962890625
2011-02-07,1055.257568359375
2011-02-08,1043.7716064453125
2011-02-09,1023.5486450195312
2011-02-10,1028.8704833984375
2011-02-11,1047.807373046875
2011-02-14,1085.7247314453125
2011-02-15,1096.900146484375
2011-02-16,1089.139404296875
2011-02-17,1089.2281494140625
2011-02-18,1089.804443359375
2011-02-21,1070.8680419921875
2011-02-22,1047.5853271484375
2011-02-23,1057.6966552734375
2011-02-24,1041.77587890625
2011-02-25,1036.5428466796875
2011-02-28,1071.6217041015625
2011-03-01,1144.8402099609375
2011-03-03,1172.7791748046875
2011-03-04,1163.732177734375
2011-03-07,1118.3201904296875
2011-03-08,1114.1514892578125
2011-03-09,1122.887939453125
2011-03-10,1127.6776123046875
2011-03-11,1109.45068359375
2011-03-14,1114.9051513671875
2011-03-15,1076.8995361328125
2011-03-16,1081.4228515625
2011-03-17,1033.3939208984375
2011-03-18,1025.5
2011-03-21,1000.665283203125
2011-03-22,1039.4698486328125
2011-03-23,1043.017578125
2011-03-24,1035.2122802734375
2011-03-25,1048.6500244140625
2011-03-28,1065.8564453125
2011-03-29,1098.0087890625
2011-03-30,1125.548828125
2011-03-31,1119.473388671875
